code,resultAbsoluteValue,dateCom,paymentDividend,earningType,dy
ALPA4,"0,04941836",20/11/2010,09/02/2011,JCP,"0,79"
BBAS3,"0,13142443",22/11/2010,30/11/2010,Dividendo,"0,39"
BBAS3,"0,23558175",22/11/2010,30/11/2010,JCP,"0,70"
ITSA4,"0,01400000",30/11/2010,03/01/2011,Dividendo,"0,20"
BBDC3,"0,01321925",01/12/2010,03/01/2011,Dividendo,"0,11"
BBDC4,"0,01454118",01/12/2010,03/01/2011,Dividendo,"0,09"
BBDC3,"0,48246166",06/12/2010,18/02/2011,JCP,"3,94"
BBDC4,"0,53070783",06/12/2010,18/02/2011,JCP,"3,37"
SMTO3,"0,17330000",13/12/2010,20/12/2010,JCP,"2,14"
CMIG4,"1,31940886",16/12/2010,29/12/2010,Dividendo,"8,62"
LREN3,"0,11480000",16/12/2010,20/04/2011,JCP,"1,15"
DXCO3,"0,14456041",17/12/2010,23/02/2011,JCP,"1,19"
FLRY3,"0,18105371",17/12/2010,29/12/2010,JCP,"1,45"
EMBR3,"0,20000000",20/12/2010,14/01/2011,JCP,"1,65"
PETR3,"0,20000000",21/12/2010,30/12/2010,JCP,"0,70"
PETR4,"0,20000000",21/12/2010,30/12/2010,JCP,"0,78"
TOTS3,"0,28608400",21/12/2010,19/01/2011,JCP,"0,84"
WEGE3,"0,01470588",21/12/2010,16/03/2011,JCP,"0,22"
BBAS3,"0,23972481",22/12/2010,30/12/2010,JCP,"0,78"
SANB11,"0,11324883",22/12/2010,25/02/2011,JCP,"0,73"
SANB11,"0,33711280",22/12/2010,25/02/2011,Dividendo,"2,16"
ENBR3,"0,22288800",23/12/2010,26/05/2011,JCP,"3,13"
SBSP3,"2,00140000",27/12/2010,27/06/2011,JCP,"13,50"
BRFS3,"0,24010772",28/12/2010,24/02/2011,JCP,"0,87"
MRVE3,"0,15600000",29/12/2010,15/06/2011,JCP,"1,07"
SUZB3,"0,36370000",29/12/2010,15/03/2011,JCP,"3,03"
USIM5,"0,18924600",29/12/2010,22/02/2011,JCP,"1,01"
MRFG3,"0,09963292",30/12/2010,15/12/2011,JCP,"0,64"
ITSA4,"0,08740000",31/12/2010,17/03/2011,JCP,"0,00"
ITUB4,"0,14333333",31/12/2010,17/03/2011,JCP,"0,00"
RENT3,"0,01441315",31/12/2010,18/02/2011,JCP,"0,21"
RENT3,"0,01906179",31/12/2010,21/01/2011,JCP,"0,28"
BBDC3,"0,01321925",03/01/2011,01/02/2011,Dividendo,"0,11"
BBDC4,"0,01454118",03/01/2011,01/02/2011,Dividendo,"0,09"
VALE3,"0,32004804",14/01/2011,31/01/2011,JCP,"0,53"
BBDC3,"0,01321925",01/02/2011,01/03/2011,Dividendo,"0,11"
BBDC4,"0,01454118",01/02/2011,01/03/2011,Dividendo,"0,10"
BBDC3,"0,07977119",11/02/2011,18/02/2011,Dividendo,"0,68"
BBDC4,"0,08774831",11/02/2011,18/02/2011,Dividendo,"0,87"
DXCO3,"0,05880194",14/02/2011,23/02/2011,JCP,"0,53"
BBAS3,"0,32069098",21/02/2011,28/02/2011,Dividendo,"1,05"
WEGE3,"0,04075000",22/02/2011,16/03/2011,Dividendo,"0,66"
BBDC3,"0,01321925",01/03/2011,01/04/2011,Dividendo,"0,11"
BBDC4,"0,01454118",01/03/2011,01/04/2011,Dividendo,"0,14"
NTCO3,"0,05675817",01/03/2011,14/04/2011,JCP,"0,13"
NTCO3,"0,94138115",01/03/2011,14/04/2011,Dividendo,"2,23"
UGPA3,"0,23500000",02/03/2011,17/03/2011,Dividendo,"2,24"
BEEF3,"0,06350000",03/03/2011,04/04/2011,Dividendo,"0,99"
ITUB4,"0,25453333",08/03/2011,14/03/2011,JCP,"0,00"
TOTS3,"0,63686667",10/03/2011,12/04/2011,Dividendo,"1,92"
CIEL3,"0,61091639",14/03/2011,31/03/2011,Dividendo,"8,41"
CIEL3,"0,00531953",14/03/2011,31/03/2011,JCP,"0,07"
GGBR4,"0,06000000",14/03/2011,24/03/2011,Dividendo,"0,27"
GOAU4,"0,09000000",14/03/2011,24/03/2011,Dividendo,"0,35"
LREN3,"0,03020000",14/03/2011,27/04/2012,JCP,"0,34"
PETR3,"0,17000000",21/03/2011,31/03/2011,JCP,"0,53"
PETR4,"0,17000000",21/03/2011,31/03/2011,JCP,"0,60"
USIM5,"0,15059900",21/03/2011,04/04/2011,JCP,"0,70"
BBAS3,"0,25305464",22/03/2011,27/05/2011,JCP,"0,87"
WEGE3,"0,01705882",22/03/2011,17/08/2011,JCP,"0,28"
SANB11,"0,15802162",24/03/2011,29/08/2011,JCP,"1,12"
ALPA4,"0,05875963",25/03/2011,02/05/2011,JCP,"0,89"
ALPA4,"0,07277155",25/03/2011,02/05/2011,Dividendo,"1,10"
EMBR3,"0,06000000",25/03/2011,19/04/2011,JCP,"0,44"
ITSA4,"0,11170000",29/03/2011,10/06/2011,JCP,"1,67"
PCAR3,"0,40954638",31/03/2011,26/05/2011,Dividendo,"0,63"
RENT3,"0,01915739",31/03/2011,19/05/2011,JCP,"0,25"
BBDC3,"0,01321925",01/04/2011,02/05/2011,Dividendo,"0,10"
BBDC4,"0,01454118",01/04/2011,02/05/2011,Dividendo,"0,13"
CPFE3,"1,01019077",04/04/2011,29/04/2011,Dividendo,"4,52"
ENBR3,"0,51856867",08/04/2011,26/05/2011,Dividendo,"3,94"
LREN3,"0,26284000",11/04/2011,20/04/2011,Dividendo,"2,92"
VALE3,"0,60824650",13/04/2011,29/04/2011,JCP,"1,19"
CCRO3,"0,22830900",19/04/2011,29/04/2011,Dividendo,"1,91"
YDUQ3,"0,46702000",19/04/2011,06/05/2011,Dividendo,"5,99"
EZTC3,"0,39452629",26/04/2011,31/05/2011,Dividendo,"3,32"
SLCE3,"0,15896471",27/04/2011,06/05/2011,Dividendo,"1,57"
ALSO3,"0,03845700",28/04/2011,20/05/2011,Dividendo,"0,16"
BRAP4,"0,75352498",28/04/2011,13/05/2011,Dividendo,"1,84"
BRAP4,"0,19384799",28/04/2011,13/05/2011,JCP,"0,47"
CPLE6,"0,03116700",28/04/2011,23/05/2011,Dividendo,"0,07"
CPLE6,"0,04404900",28/04/2011,23/05/2011,JCP,"0,10"
PETR3,"0,12000000",28/04/2011,27/06/2011,Dividendo,"0,42"
PETR4,"0,12000000",28/04/2011,27/06/2011,Dividendo,"0,47"
BRKM5,"0,83324714",29/04/2011,10/05/2011,Dividendo,"3,64"
CMIG4,"0,87672813",29/04/2011,29/06/2011,Dividendo,"5,18"
CMIG4,"0,87672813",29/04/2011,21/12/2011,Dividendo,"12,54"
CSNA3,"0,24472000",29/04/2011,09/05/2011,JCP,"1,00"
CSNA3,"1,02883000",29/04/2011,06/05/2011,Dividendo,"4,21"
CYRE3,"0,33702116",29/04/2011,24/06/2011,Dividendo,"2,04"
EGIE3,"0,24246878",29/04/2011,27/05/2011,Dividendo,"2,15"
EQTL3,"0,36000000",29/04/2011,20/05/2011,Dividendo,"2,70"
HYPE3,"0,12050000",29/04/2011,01/07/2011,Dividendo,"0,57"
MULT3,"0,57872217",29/04/2011,12/05/2011,Dividendo,"5,30"
RENT3,"0,03939128",29/04/2011,22/06/2011,Dividendo,"0,48"
SUZB3,"0,03160000",29/04/2011,09/05/2011,Dividendo,"0,24"
BBDC3,"0,01321925",02/05/2011,01/06/2011,Dividendo,"0,11"
BBDC4,"0,01454118",02/05/2011,01/06/2011,Dividendo,"0,10"
MRFG3,"0,01403557",02/05/2011,15/12/2011,Dividendo,"0,09"
GOLL4,"0,18814478",04/05/2011,22/06/2011,Dividendo,"0,88"
RAIL3,"0,08290000",05/05/2011,29/06/2011,Dividendo,"0,21"
PETR3,"0,20000000",11/05/2011,31/05/2011,JCP,"0,74"
PETR4,"0,20000000",11/05/2011,31/05/2011,JCP,"1,01"
MRVE3,"0,18019294",17/05/2011,15/06/2011,Dividendo,"1,34"
BBAS3,"0,15696155",19/05/2011,27/05/2011,Dividendo,"0,58"
GGBR4,"0,06000000",19/05/2011,27/05/2011,Dividendo,"0,36"
GOAU4,"0,10000000",19/05/2011,27/05/2011,Dividendo,"0,49"
PCAR3,"0,09000000",19/05/2011,27/05/2011,Dividendo,"0,14"
ALPA4,"0,06026629",20/05/2011,04/07/2011,JCP,"0,89"
ITSA4,"0,01400000",31/05/2011,01/07/2011,Dividendo,"0,21"
SANB11,"0,19752703",31/05/2011,29/08/2011,Dividendo,"1,54"
BBDC3,"0,01321925",01/06/2011,01/07/2011,Dividendo,"0,11"
BBDC4,"0,01454118",01/06/2011,01/07/2011,Dividendo,"0,10"
ELET3,"0,87460685",16/06/2011,29/06/2011,JCP,"4,09"
ELET6,"1,71352822",16/06/2011,29/06/2011,JCP,"6,07"
EMBR3,"0,10000000",20/06/2011,22/07/2011,JCP,"0,81"
BBAS3,"0,25751463",21/06/2011,26/08/2011,JCP,"0,95"
SANB11,"0,14485316",21/06/2011,29/08/2011,JCP,"1,13"
SANB11,"0,02633694",21/06/2011,29/08/2011,Dividendo,"0,21"
WEGE3,"0,01911765",21/06/2011,17/08/2011,JCP,"0,37"
BBDC3,"0,15552059",27/06/2011,18/07/2011,JCP,"1,27"
BBDC4,"0,17107265",27/06/2011,18/07/2011,JCP,"1,18"
LREN3,"0,03088000",27/06/2011,27/04/2012,JCP,"0,32"
BRFS3,"0,33564596",29/06/2011,29/08/2011,JCP,"1,26"
ARZZ3,"0,09533921",30/06/2011,29/07/2011,JCP,"0,44"
BBDC3,"0,01321925",01/07/2011,01/08/2011,Dividendo,"0,10"
BBDC4,"0,01454118",01/07/2011,01/08/2011,Dividendo,"0,10"
RENT3,"0,02045641",01/07/2011,25/08/2011,JCP,"0,24"
WEGE3,"0,02425000",21/07/2011,17/08/2011,Dividendo,"0,43"
NTCO3,"0,08697463",26/07/2011,12/08/2011,JCP,"0,25"
NTCO3,"0,68478453",26/07/2011,12/08/2011,Dividendo,"1,96"
CSAN3,"0,12306789",29/07/2011,31/08/2011,Dividendo,"0,58"
DXCO3,"0,10869471",29/07/2011,15/08/2011,JCP,"1,18"
SMTO3,"0,26795837",29/07/2011,15/08/2011,Dividendo,"3,68"
BBDC3,"0,01321925",01/08/2011,01/09/2011,Dividendo,"0,11"
BBDC4,"0,01454118",01/08/2011,01/09/2011,Dividendo,"0,10"
PCAR3,"0,09000000",01/08/2011,10/08/2011,Dividendo,"0,14"
PETR3,"0,20000000",02/08/2011,31/08/2011,JCP,"0,78"
PETR4,"0,20000000",02/08/2011,31/08/2011,JCP,"1,03"
ITSA4,"0,07800000",09/08/2011,22/08/2011,JCP,"1,60"
ITUB4,"0,18040000",09/08/2011,22/08/2011,JCP,"1,45"
EGIE3,"1,00807639",10/08/2011,06/10/2011,Dividendo,"9,52"
VALE3,"0,93340318",11/08/2011,26/08/2011,Dividendo,"2,14"
GGBR4,"0,09000000",15/08/2011,25/08/2011,JCP,"0,78"
GOAU4,"0,15000000",15/08/2011,25/08/2011,JCP,"1,00"
CPFE3,"0,77702318",17/08/2011,30/09/2011,Dividendo,"3,87"
UGPA3,"0,23500000",17/08/2011,30/08/2011,Dividendo,"1,70"
BBAS3,"0,21079819",18/08/2011,26/08/2011,Dividendo,"0,84"
CPLE6,"0,08670600",18/08/2011,15/09/2011,JCP,"0,24"
ALPA4,"0,06207428",19/08/2011,05/09/2011,JCP,"1,03"
FLRY3,"0,13709215",19/08/2011,31/08/2011,JCP,"1,37"
CCRO3,"1,59000000",29/08/2011,30/09/2011,Dividendo,"13,53"
ITSA4,"0,01400000",31/08/2011,03/10/2011,Dividendo,"0,26"
BBDC3,"0,01321925",01/09/2011,03/10/2011,Dividendo,"0,11"
BBDC4,"0,01454118",01/09/2011,03/10/2011,Dividendo,"0,10"
CIEL3,"0,04428366",15/09/2011,30/09/2011,JCP,"0,50"
CIEL3,"0,99220118",15/09/2011,30/09/2011,Dividendo,"11,16"
WEGE3,"0,02058824",20/09/2011,14/03/2012,JCP,"0,37"
BBAS3,"0,27818098",21/09/2011,25/11/2011,JCP,"1,11"
SANB11,"0,10551267",22/09/2011,28/02/2012,JCP,"1,01"
EMBR3,"0,09000000",23/09/2011,17/10/2011,JCP,"0,79"
LREN3,"0,03162000",23/09/2011,27/04/2012,JCP,"0,37"
RENT3,"0,02194813",30/09/2011,18/11/2011,JCP,"0,29"
VIVT3,"1,04294821",30/09/2011,03/11/2011,JCP,"4,45"
VIVT3,"0,31905872",30/09/2011,03/11/2011,Dividendo,"1,36"
BBDC3,"0,01454118",03/10/2011,01/11/2011,Dividendo,"0,14"
BBDC4,"0,01599529",03/10/2011,01/11/2011,Dividendo,"0,12"
VALE3,"0,38933462",14/10/2011,31/10/2011,Dividendo,"0,88"
VALE3,"0,63432938",14/10/2011,31/10/2011,JCP,"1,44"
BRAP4,"0,74761498",31/10/2011,14/11/2011,JCP,"2,09"
BRAP4,"0,00531900",31/10/2011,14/11/2011,Dividendo,"0,01"
