code,resultAbsoluteValue,dateCom,paymentDividend,earningType,dy
ARMT34,"0,31318932",14/05/2019,19/06/2019,Dividendo,"0,90"
COWC34,"0,04368188",28/08/2019,19/09/2019,Dividendo,"0,00"
MCDC34,"0,78666216",30/08/2019,23/09/2019,Dividendo,"0,35"
BLAK34,"0,13808920",03/09/2019,30/09/2019,Dividendo,"0,00"
HOME34,"0,13307227",03/09/2019,25/09/2019,Dividendo,"0,03"
MOSC34,"0,02283096",03/09/2019,25/09/2019,Dividendo,"0,06"
BOAC34,"0,12394042",04/09/2019,03/10/2019,Dividendo,"0,11"
GMCO34,"0,26157652",04/09/2019,26/09/2019,Dividendo,"0,00"
PEPB34,"0,17531059",04/09/2019,09/10/2019,Dividendo,"0,00"
OXYP34,"0,12066496",06/09/2019,21/10/2019,Dividendo,"0,00"
QCOM34,"0,14196309",10/09/2019,02/10/2019,Dividendo,"0,00"
COCA34,"0,18411891",12/09/2019,08/10/2019,Dividendo,"0,08"
GEOO34,"0,21206051",12/09/2019,31/10/2019,Dividendo,"0,56"
MRCK34,"0,18595115",12/09/2019,11/10/2019,Dividendo,"0,00"
UNHH34,"0,04261038",12/09/2019,30/09/2019,Dividendo,"0,02"
TMOS34,"0,01088274",13/09/2019,21/10/2019,Dividendo,"0,00"
AVGO34,"0,10451810",19/09/2019,07/10/2019,Dividendo,"0,00"
CMCS34,"0,11286195",30/09/2019,29/10/2019,Dividendo,"0,00"
CSCO34,"0,18810318",02/10/2019,29/10/2019,Dividendo,"0,00"
JPMC34,"0,23918786",02/10/2019,06/11/2019,Dividendo,"0,10"
AXPB34,"0,11827532",03/10/2019,21/11/2019,Dividendo,"0,00"
MSCD34,"0,02905479",07/10/2019,18/11/2019,Dividendo,"0,00"
ATTB34,"0,44879233",08/10/2019,12/11/2019,Dividendo,"0,00"
ORCL34,"0,10607519",08/10/2019,31/10/2019,Dividendo,"1,01"
VERZ34,"0,27008611",08/10/2019,07/11/2019,Dividendo,"0,00"
ABBV34,"0,18541079",11/10/2019,22/11/2019,Dividendo,"0,00"
FCXO34,"0,04391664",11/10/2019,07/11/2019,Dividendo,"0,00"
COPH34,"0,09780785",15/10/2019,06/12/2019,Dividendo,"0,00"
PGCO34,"0,14771564",16/10/2019,22/11/2019,Dividendo,"0,00"
CATP34,"0,17960656",17/10/2019,28/11/2019,Dividendo,"0,00"
FDMO34,"0,41626505",18/10/2019,06/12/2019,Dividendo,"0,00"
COLG34,"0,17006348",21/10/2019,22/11/2019,Dividendo,"0,00"
BONY34,"0,85268299",24/10/2019,21/11/2019,Dividendo,"2,14"
BCSA34,"0,32766667",29/10/2019,14/11/2019,Dividendo,"0,00"
MSBR34,"0,19386267",29/10/2019,26/11/2019,Dividendo,"0,00"
TEXA34,"0,16658546",29/10/2019,27/11/2019,Dividendo,"0,00"
COWC34,"0,04505336",30/10/2019,22/11/2019,Dividendo,"0,02"
ULEV34,"1,76740000",30/10/2019,10/12/2019,Dividendo,"0,00"
CTGP34,"0,23572010",31/10/2019,28/11/2019,Dividendo,"0,00"
AALL34,"0,27909091",04/11/2019,26/11/2019,Dividendo,"0,00"
ITLC34,"0,14569271",05/11/2019,05/12/2019,Dividendo,"0,06"
AAPL34,"0,02668419",06/11/2019,22/11/2019,Dividendo,"0,03"
PFIZ34,"0,24975891",06/11/2019,06/12/2019,Dividendo,"0,16"
SCHW34,"0,05893000",06/11/2019,28/11/2019,Dividendo,"0,00"
WFCO34,"0,35382518",06/11/2019,06/12/2019,Dividendo,"0,16"
EXXO34,"0,14868428",07/11/2019,16/12/2019,Dividendo,"0,20"
