,tickers
0,ABCB4
1,AESB3
2,AGRO3
3,ALUP11
4,B3SA3
5,BBAS3
6,BBSE3
7,BRAP4
8,VBBR3
9,CAML3
10,CCRO3
11,CESP6
12,CGAS5
13,CMIG4
14,COCE5
15,CPFE3
16,CPLE6
17,CSAN3
18,CSMG3
19,EGIE3
20,ELET6
21,ENAT3
22,ENBR3
23,ENGI11
24,EQTL3
25,FESA4
26,ITSA4
27,ITUB4
28,NEOE3
29,PETR4
30,PSSA3
31,QUAL3
32,RADL3
33,ROMI3
34,SANB11
35,SAPR11
36,SBSP3
37,SLCE3
38,SULA11
39,TAEE11
40,TRPL4
41,UGPA3
42,UNIP5
43,VALE3
44,VIVT3
45,WEGE3
46,WHRL4
47,WIZS3
48,AAPL34
49,AMZO34
50,CHVX34
51,COCA34
52,CSCO34
53,CTGP34
54,CVSH34
55,DISB34
56,EXXO34
57,GEOO34
58,GOGL34
59,GSGI34
60,IBMB34
61,ITLC34
62,JNJB34
63,JPMC34
64,M1TA34
65,MELI34
66,MMMC34
67,MSBR34
68,MSFT34
69,NIKE34
70,ORCL34
71,PEPB34
72,PGCO34
73,TLNC34
74,TSLA34
75,ULEV34
76,UNHH34
77,VISA34
78,WFCO34
79,XPBR31
