,tickers
0,FIVN11
1,BZLI11
2,XTED11
3,ALMI11
4,PABY11
5,ATSA11
6,CXTL11
7,HTMX11
8,GSFI11
9,NEWU11
10,PRSV11
11,FAMB11B
12,FMOF11
13,KNRE11
14,RBDS11
15,WTSP11B
16,OULG11
17,VXXV11
18,HRDF11
19,CJCT11
20,LFTT11
21,HCRI11
22,DRIT11B
23,CTXT11
24,SRVD11
25,RBIR11
26,CARE11
27,BPML11
28,TORD11
29,CXCI11
30,MGFF11
31,JRDM11
32,MAXR11
33,BRCR11
34,NCHB11
35,XPIN11
36,VSLH11
37,HCTR11
38,SEQR11
39,DEVA11
40,BLMG11
41,BCFF11
42,BTCR11
43,CEOC11
44,FEXC11
45,FAED11
46,RBRR11
47,MGLG11
48,GCRA11
49,DVFF11
50,BMLC11
51,GTLG11
52,RBRL11
53,RBRP11
54,FLCR11
55,RECT11
56,RECR11
57,RELG11
58,ERPA11
59,BLCA11
60,CPFF11
61,RVBI11
62,CVBI11
63,IBCR11
64,RBRY11
65,RBRF11
66,IRIM11
67,IRDM11
68,OUJP11
69,KNRI11
70,GAME11
71,MGHT11
72,VGIA11
73,VGIP11
74,VGIR11
75,MCHF11
76,MCCI11
77,CPTS11
78,GCRI11
79,GCFF11
80,MORE11
81,MGCR11
82,NAVT11
83,BLCP11
84,AFHI11
85,OUFF11
86,OURE11
87,CORM11
88,TRNT11
89,BRLA11
90,ARCT11
91,RZAK11
92,AFOF11
93,BLMC11
94,RECX11
95,SNFF11
96,SNCI11
97,MATV11
98,BTLG11
99,MCHY11
100,BTAL11
101,MORC11
102,CCRF11
103,EQIR11
104,XPML11
105,FCFL11
106,ALZR11
107,FLRP11
108,CNES11
109,BTRA11
110,EDGA11
111,LASC11
112,EVBI11
113,VVPR11
114,KNHY11
115,BARI11
116,KNCR11
117,KNSC11
118,KNCA11
119,HUSI11
120,JSRE11
121,XPCA11
122,XPCI11
123,LUGG11
124,LGCP11
125,HGRE11
126,RNGO11
127,FVPQ11
128,RBRS11
129,HOSI11
130,RBED11
131,HREC11
132,PQAG11
133,ITIP11
134,HFOF11
135,FIGS11
136,WPLZ11
137,HABT11
138,ARRI11
139,CACR11
140,SHPH11
141,JGPX11
142,MXRF11
143,XPLG11
144,URPR11
145,PLOG11
146,PORD11
147,NVHO11
148,NEWL11
149,IDFI11
150,HSAF11
151,SARE11
152,NSLU11
153,PVBI11
154,LVBI11
155,PQDP11
156,FIIB11
157,ABCP11
158,RBCO11
159,JPPA11
160,VRTA11
161,KNIP11
162,RBHY11
163,RBHG11
164,RMAI11
165,XPHT11
166,PLCR11
167,KFOF11
168,KINP11
169,APTO11
170,MALL11
171,BRCO11
172,VCJR11
173,QAMI11
174,JSAF11
175,XPSF11
176,BTWR11
177,VOTS11
178,VTLT11
179,VGHF11
180,RNDP11
181,RBRD11
182,VIUR11
183,VILG11
184,VCRR11
185,BCIA11
186,BBGO11
187,BNFS11
188,FIIP11B
189,EDFO11B
190,CXCE11B
191,MFAI11
192,HBRH11
193,QIRI11
194,HGRU11
195,HGCR11
196,BICR11
197,BBFI11B
198,HGPO11
199,ITIT11
200,HGLG11
201,HAAA11
202,RBVA11
203,HGFF11
204,HCHG11
205,HPDP11
206,HLOG11
207,HGBS11
208,CYCR11
209,HUSC11
210,CBOP11
211,TEPP11
212,RZAG11
213,RZTR11
214,TGAR11
215,KISU11
216,BPFF11
217,XPPR11
218,SPTW11
219,PATL11
220,XPCM11
221,RBFF11
222,JFLL11
223,HSLG11
224,SDIL11
225,CXCO11
226,HSRE11
227,PLRI11
228,HSML11
229,BCRI11
230,SADI11
231,VSHO11
232,RDPD11
233,RBVO11
234,GTWR11
235,BBPO11
236,BBRC11
237,VCRI11
238,VIFI11
239,VINO11
240,VISC11
241,PATC11
242,TRXF11
243,BBFO11
244,FPAB11
245,EURO11
246,VLOL11
247,AIEC11
248,MFII11
249,GALG11
250,RFOF11
251,RRCI11
252,RBLG11
253,QAGR11
254,HGIC11
255,GGRC11
256,CRFF11
257,CXRI11
258,CXAG11
259,SCPF11
260,FLMA11
261,BREV11
262,FATN11
263,BIME11
264,BLMR11
265,MBRF11
266,ONEF11
267,RCRB11
268,CXAG11
269,AURA33
270,MMMC34
271,ABUD34
272,A1BB34
273,ABTT34
274,ABBV34
275,A1BM34
276,ATVI34
277,ADBE34
278,A1AP34
279,A1MD34
280,A1EG34
281,A1ES34
282,A1FL34
283,A1GI34
284,A1PD34
285,A1KA34
286,A1LK34
287,A1LB34
288,A1RE34
289,A1LX34
290,BABA34
291,A1LG34
292,A1GN34
293,A1LL34
294,A1EN34
295,A1TT34
296,A1LN34
297,GOGL34
298,GOGL35
299,A1YX34
300,MOOO34
301,A1CR34
302,A1EE34
303,A1MX34
304,AALL34
305,A1EP34
306,T1OW34
307,A1WK34
308,A1MP34
309,A1MB34
310,A1ME34
311,AMGN34
312,A1PH34
313,A1DI34
314,A1UA34
315,A1NS34
316,A1NT34
317,A1OS34
318,A1ON34
319,A1PA34
320,A1IV34
321,AAPL34
322,A1MT34
323,APTV34
324,ARMT34
325,A1DM34
326,A1RG34
327,A1NE34
328,AWII34
329,A1JG34
330,A1SN34
331,ASML34
332,A1SU34
333,A1ZN34
334,T1AM34
335,A1TM34
336,A1UT34
337,A1TH34
338,ADPR34
339,AZOI34
340,A1VB34
341,A1VY34
342,BIDU34
343,B1KR34
344,B1LL34
345,B1SA34
346,BOAC34
347,B1CS34
348,B1AX34
349,B1BT34
350,B1DX34
351,B1GN34
352,BBYY34
353,BHPG34
354,B1BL34
355,BILB34
356,B1IL34
357,BIIB34
358,B1MR34
359,B1NT34
360,T1CH34
361,BLAK34
362,BKNG34
363,B1WA34
364,BOXP34
365,B1SX34
366,B1PP34
367,B1TI34
368,AVGO34
369,B1RF34
370,B1AM34
371,B1FC34
372,C1AB34
373,C1OG34
374,C1DN34
375,C1PB34
376,CNIC34
377,CPRL34
378,CAJI34
379,CAON34
380,CAPH34
381,C1AH34
382,K1MX34
383,C1CL34
384,C1RR34
385,CRIN34
386,C1BO34
387,C1BR34
388,C1BS34
389,C1DW34
390,C1NS34
391,C1NC34
392,C1NP34
393,C1ER34
394,C1FI34
395,C1HR34
396,CHCM34
397,C1HK34
398,L1FC34
399,C1HL34
400,C1HI34
401,C1MG34
402,C1BL34
403,C1HT34
404,CHDC34
405,C1IC34
406,CINF34
407,C1TA34
408,CSCO34
409,CTGP34
410,C1FG34
411,C1TX34
412,CLXC34
413,CHME34
414,C1MS34
415,C1EO34
416,CTSH34
417,CMCS34
418,C1MA34
419,C1AG34
420,C1XO34
421,E1DI34
422,STZB34
423,C1OO34
424,C1PR34
425,COPH34
426,G1LW34
427,C1TV34
428,C1GP34
429,COWC34
430,COTY34
431,C1OU34
432,CRDA34
433,C1SU34
434,CRHP34
435,C1CI34
436,CSXC34
437,CRIP34
438,C1MI34
439,CVSH34
440,DHER34
441,D1RI34
442,D1DG34
443,DVAI34
444,DEEC34
445,D1EL34
446,DEAI34
447,XRAY34
448,DBAG34
449,D1VN34
450,D1EX34
451,DEOP34
452,F1AN34
453,D1LR34
454,D1FS34
455,DCVY34
456,DCVY35
457,D1IS34
458,D1OC34
459,DGCO34
460,DLTR34
461,D1OM34
462,D1OV34
463,D1OW34
464,D1HI34
465,R1DY34
466,D1TE34
467,D1RE34
468,D1XC34
469,E1MN34
470,E1TN34
471,EBAY34
472,E1CL34
473,E1CO34
474,E1IX34
475,E1WL34
476,EAIN34
477,E1MR34
478,E1NI34
479,E1TR34
480,E1OG34
481,E1FX34
482,EQIX34
483,E1QN34
484,E1QR34
485,E1RI34
486,E1SS34
487,ELCI34
488,E1VE34
489,E1VR34
490,E1SE34
491,E1XC34monde
492,EXGR34
493,E1XP34
494,E1XR34
495,EXXO34
496,F1FI34
497,M1TA34
498,FASL34
499,F1SL34
500,F1RI34
501,F1NI34
502,FFTD34
503,F1RC34
504,FSLR34
505,F1EC34
506,F1IS34
507,FLTC34
508,F1LI34
509,F1LS34
510,F1MC34
511,FDMO34
512,F1TN34
513,F1TV34
514,F1BH34
515,FOXC34
516,F1RA34
517,FCXO34
518,FMSC34
519,G1LP34
520,GPSI34
521,G1RM34
522,G1AR34
523,G1DS34
524,GEOO34
525,G1MI34
526,GMCO34
527,G1PC34
528,GPRK34
529,GILD34
530,G1SK34
531,G1PI34
532,G1LL34
533,G1FI34
534,GSGI34
535,GPRO34
536,H1RB34
537,HALI34
538,H1BI34
539,THGI34
540,H1OG34
541,H1IG34
542,H1AS34
543,H1CA34
544,H1DB34
545,P1EA34
546,H1EI34
547,H1SI34
548,HSHY34
549,H1ES34
550,H1PE34
551,H1LT34
552,H1FC34
553,H1OL34
554,HOME34
555,HOND34
556,H1ZN34
557,H1RL34
558,H1ST34
559,ARNC34
560,H1SB34
561,H1TH34
562,H1UM34
563,H1BA34
564,H1II34
565,I1AC34
566,I1BN34
567,I1EX34
568,I1DX34
569,I1NF34
570,I1TW34
571,I1LM34
572,I1NC34
573,I1FO34
574,INGG3
575,I1RP34
576,ITLC34
577,I1CE34
578,I1HG34
579,I1PC34
