tir,vir,dc,du,rbd,rbm,rba,rbp,rlp,rld,rlm,rla
0.0,0.0,1277,883,0.115715,2.4584,33.83,177.65,177.65,0.115715,2.46,33.83
17.5,748.15,547,379,0.093958,1.9918,26.7,42.75,35.27,0.079742,1.69,22.25
17.5,441.05,365,253,0.088879,1.8831,25.09,25.2,20.79,0.074693,1.58,20.7
17.5,227.86,395,275,0.084196,1.7831,23.63,26.04,21.48,0.070794,1.5,19.52
17.5,206.84,395,275,0.077193,1.6336,21.46,23.64,19.5,0.064809,1.37,17.73
15.0,79.8,899,622,0.072424,1.532,20.01,56.88,48.35,0.063427,1.34,17.33
15.0,79.8,899,622,0.072424,1.532,20.01,56.88,48.35,0.063427,1.34,17.33
15.0,166.24,1574,1080,0.066743,1.411,18.31,105.56,89.73,0.059316,1.25,16.12
15.0,166.24,1574,1080,0.066743,1.411,18.31,105.56,89.73,0.059316,1.25,16.12
15.0,180.03,1808,1244,0.065979,1.3947,18.08,127.17,108.09,0.058924,1.24,16.0
15.0,180.03,1808,1244,0.065979,1.3947,18.08,127.17,108.09,0.058924,1.24,16.0
15.0,92.31,1063,731,0.065597,1.3866,17.97,61.5,52.28,0.057545,1.22,15.6
15.0,92.31,1063,731,0.065597,1.3866,17.97,61.5,52.28,0.057545,1.22,15.6
15.0,181.3,1661,1144,0.065214,1.3785,17.86,110.81,94.19,0.05803,1.23,15.74
15.0,181.3,1661,1144,0.065214,1.3785,17.86,110.81,94.19,0.05803,1.23,15.74
0.0,0.0,1570,1082,0.064447,1.3622,17.63,100.79,100.79,0.064447,1.36,17.63
15.0,173.44,1687,1162,0.064255,1.3581,17.57,110.94,94.3,0.057179,1.21,15.49
15.0,173.44,1687,1162,0.064255,1.3581,17.57,110.94,94.3,0.057179,1.21,15.49
15.0,385.52,2788,1918,0.064063,1.354,17.51,241.56,205.32,0.058213,1.23,15.8
15.0,385.52,2788,1918,0.064063,1.354,17.51,241.56,205.32,0.058213,1.23,15.8
15.0,905.82,1800,1238,0.063993,1.3525,17.49,120.78,102.66,0.057073,1.21,15.46
15.0,117.59,2160,1486,0.063485,1.3417,17.34,156.79,133.27,0.057017,1.2,15.45
15.0,240.11,2190,1506,0.063485,1.3417,17.34,160.07,136.06,0.057049,1.2,15.46
15.0,240.11,2190,1506,0.063485,1.3417,17.34,160.07,136.06,0.057049,1.2,15.46
15.0,235.43,2161,1487,0.063485,1.3417,17.34,156.95,133.41,0.057019,1.2,15.45
15.0,235.67,2165,1488,0.063485,1.3417,17.34,157.12,133.55,0.05702,1.2,15.45
15.0,110.94,1242,852,0.063295,1.3376,17.29,71.45,60.73,0.055714,1.18,15.07
15.0,110.94,1242,852,0.063295,1.3376,17.29,71.45,60.73,0.055714,1.18,15.07
15.0,18.1,1827,1257,0.062977,1.3309,17.19,120.64,102.55,0.056165,1.19,15.2
15.0,649.65,1440,991,0.062977,1.3309,17.19,86.62,73.63,0.055691,1.18,15.06
0.0,0.0,2760,1900,0.06291,1.3294,17.17,230.33,230.33,0.06291,1.33,17.17
0.0,0.0,2760,1900,0.06291,1.3294,17.17,230.33,230.33,0.06291,1.33,17.17
15.0,223.82,2045,1406,0.062794,1.327,17.14,141.72,120.46,0.056243,1.19,15.22
15.0,223.51,2039,1403,0.062789,1.3269,17.14,141.25,120.06,0.056234,1.19,15.22
15.0,223.68,2038,1402,0.062784,1.3268,17.14,141.08,119.92,0.056227,1.19,15.22
15.0,223.82,2045,1406,0.062794,1.327,17.14,141.72,120.46,0.056243,1.19,15.22
15.0,223.51,2039,1403,0.062789,1.3269,17.14,141.25,120.06,0.056234,1.19,15.22
15.0,223.68,2038,1402,0.062784,1.3268,17.14,141.08,119.92,0.056227,1.19,15.22
15.0,223.32,2033,1400,0.062779,1.3267,17.13,140.76,119.65,0.056219,1.19,15.22
15.0,220.82,2010,1383,0.062749,1.326,17.13,138.1,117.39,0.056163,1.19,15.2
15.0,223.32,2033,1400,0.062779,1.3267,17.13,140.76,119.65,0.056219,1.19,15.22
15.0,220.82,2010,1383,0.062749,1.326,17.13,138.1,117.39,0.056163,1.19,15.2
15.0,219.22,1988,1368,0.062718,1.3254,17.12,135.78,115.41,0.05611,1.18,15.18
15.0,219.22,1988,1368,0.062718,1.3254,17.12,135.78,115.41,0.05611,1.18,15.18
15.0,178.86,1825,1257,0.062469,1.3201,17.04,119.24,101.35,0.055695,1.18,15.06
15.0,178.86,1825,1257,0.062469,1.3201,17.04,119.24,101.35,0.055695,1.18,15.06
15.0,170.07,1794,1235,0.062434,1.3193,17.03,116.15,98.73,0.055625,1.17,15.04
15.0,170.07,1794,1235,0.062434,1.3193,17.03,116.15,98.73,0.055625,1.17,15.04
15.0,165.6,1724,1189,0.062347,1.3175,17.01,109.82,93.35,0.055467,1.17,15.0
15.0,165.6,1724,1189,0.062347,1.3175,17.01,109.82,93.35,0.055467,1.17,15.0
15.0,168.66,1715,1182,0.062337,1.3173,17.0,108.88,92.55,0.055445,1.17,14.99
15.0,167.66,1701,1172,0.062322,1.317,17.0,107.55,91.41,0.055414,1.17,14.98
