vb,vl,vrl,prlt,idx,rpd,rpp,vpp,teq,tt,am,total
20886.72,20886.72,10886.72,108.87,CDI,0.0222,15.06,11505.68,LCI/LCA 195.47% CDI,34.2,120000.0,229.96
27732.51,27732.51,17732.51,177.33,CDI,0.0222,21.66,12165.84,LCI/LCA 193.66% CDI,33.83,90000.0,227.84
14275.12,13526.97,3526.97,35.27,CDI,0.0222,8.79,10878.93,LCI/LCA 152.62% CDI,26.7,180000.0,185.0
12520.27,12079.23,2079.23,20.79,CDI,0.0222,5.78,10578.47,LCI/LCA 144.38% CDI,25.09,200000.0,175.0
6296.78,6069.85,1069.85,21.4,CDI,0.0222,6.28,5313.98,LCI/LCA 136.77% CDI,23.63,200000.0,165.78
6177.2,5971.19,971.19,19.42,CDI,0.0222,6.28,5313.98,LCI/LCA 125.39% CDI,21.46,200000.0,151.99
1467.59,1387.37,454.59,48.73,CDI,0.0222,14.93,1072.04,LCI/LCA CDI + 4.76%,20.01,160000.0,5.6
1467.55,1387.44,454.0,48.64,CDI,0.0222,14.9,1072.55,LCI/LCA CDI + 4.76%,20.01,160000.0,5.6
2158.12,1991.88,942.02,89.73,CDI,0.0215,26.18,1324.68,LCI/LCA CDI + 3.48%,18.31,120000.0,4.1
2158.12,1991.88,942.02,89.73,CDI,0.0215,26.18,1324.68,LCI/LCA CDI + 3.48%,18.31,120000.0,4.1
2074.79,2074.79,1066.67,105.81,CDI,0.0222,27.36,1283.94,CDB CDI + 4.71%,18.2,120000.0,4.0
1615.93,1523.63,523.07,52.28,CDI,0.0215,17.04,1171.09,LCI/LCA CDI + 3.23%,17.97,150000.0,3.8
1615.93,1523.63,523.07,52.28,CDI,0.0215,17.04,1171.09,LCI/LCA CDI + 3.23%,17.97,150000.0,3.8
2066.59,2066.59,1053.4,103.97,CDI,0.0222,27.33,1290.09,CDB CDI + 4.47%,17.97,120000.0,3.8
2299.26,2117.54,1029.72,94.66,CDI,0.0222,29.07,1404.03,LCI/LCA CDI + 3.15%,17.86,120000.0,3.7
2299.31,2117.69,1029.14,94.54,CDI,0.0222,29.04,1404.67,LCI/LCA CDI + 3.15%,17.86,120000.0,3.7
2135.32,1957.68,1006.65,105.85,CDI,0.0222,31.97,1255.07,LCI/LCA CDI + 3.06%,17.74,110000.0,3.6
2135.14,1957.6,1006.04,105.72,CDI,0.0222,31.94,1255.5,LCI/LCA CDI + 3.06%,17.74,110000.0,3.6
2198.63,2024.78,985.16,94.76,CDI,0.0222,29.59,1347.2,LCI/LCA CDI + 2.93%,17.57,120000.0,3.45
2198.59,2024.85,984.57,94.65,CDI,0.0222,29.56,1347.75,LCI/LCA CDI + 2.93%,17.57,120000.0,3.45
3634.05,3248.13,2186.88,206.07,CDI,0.0222,53.3,1626.87,LCI/LCA CDI + 2.89%,17.51,73000.0,3.4
