,ticks
0,HAPV3
1,MGLU3
2,BBDC4
3,CIEL3
4,PETR4
5,B3SA3
6,CVCB3
7,COGN3
8,VIIA3
9,RAIZ4
10,VALE3
11,BRFS3
12,ASAI3
13,CASH3
14,ITUB4
15,SOMA3
16,LREN3
17,USIM5
18,VBBR3
19,ITSA4
20,JBSS3
21,MRVE3
22,ABEV3
23,RADL3
24,ALPA4
25,PRIO3
26,AZUL4
27,BEEF3
28,GOLL4
29,BBAS3
30,PETZ3
31,GGBR4
32,CPLE6
33,ELET3
34,OIBR3
35,MRFG3
36,UGPA3
37,RENT3
38,BBSE3
39,SMFT3
40,CMIG4
41,CSNA3
42,CMIN3
43,RAIL3
44,STBP3
45,NTCO3
46,RRRP3
47,CCRO3
48,GOAU4
49,PETR3
50,CSAN3
51,BBDC3
52,EMBR3
53,LWSA3
54,ENEV3
55,ANIM3
56,LJQQ3
57,SUZB3
58,TEND3
59,POMO4
60,EQTL3
61,CRFB3
62,MULT3
63,YDUQ3
64,AMER3
65,CYRE3
66,VIVR3
67,DXCO3
68,LIGT3
69,SEQL3
70,BRKM5
71,TIMS3
72,HBSA3
73,FLRY3
74,MOVI3
75,AERI3
76,RDOR3
77,CEAB3
78,ENAT3
79,GMAT3
80,IFCM3
81,CBAV3
82,ECOR3
83,ZAMP3
84,JHSF3
85,BRAP4
86,WEGE3
87,CPFE3
88,ALSO3
89,ESPA3
90,TOTS3
91,MDIA3
92,VAMO3
93,SIMH3
94,CXSE3
95,PINE4
96,IRBR3
97,RCSL3
98,QUAL3
99,BPAN4
100,RECV3
101,MODL3
102,CSMG3
103,VIVT3
104,EZTC3
105,KEPL3
106,AMAR3
107,HYPE3
108,POSI3
109,KLBN4
110,ARZZ3
111,SLCE3
112,GUAR3
113,SBSP3
114,MLAS3
115,PSSA3
116,ONCO3
117,CAML3
118,GRND3
119,VIVA3
120,SAPR4
121,DIRR3
122,RAPT4
123,SMTO3
124,AMBP3
125,PCAR3
126,ELET6
127,BRSR6
128,TTEN3
129,ARML3
130,CURY3
131,SBFG3
132,ENJU3
133,CMIG3
134,AESB3
135,ODPV3
136,GFSA3
137,MYPK3
138,PTBL3
139,ABCB4
140,TRPL4
141,EGIE3
142,MBLY3
143,BMGB4
144,ENBR3
145,MEAL3
146,PLPL3
147,NEOE3
148,TRAD3
149,PGMN3
150,INEP3
151,CPLE3
152,GGPS3
153,LAVV3
154,RANI3
155,MILS3
156,KRSA3
157,EVEN3
158,DASA3
159,TRIS3
160,SEER3
161,BOAS3
162,MDNE3
163,INTB3
164,TUPY3
165,ALPK3
166,TASA4
167,JALL3
168,RCSL4
169,MTRE3
170,SQIA3
171,NINJ3
172,VITT3
173,ROMI3
174,NGRD3
175,LUPA3
176,CLSA3
177,PNVL3
178,SHUL4
179,FRAS3
180,USIM3
181,SGPS3
182,FIQE3
183,ITUB3
184,HBRE3
185,TECN3
186,WIZC3
187,BRIT3
188,ETER3
189,OPCT3
190,SAPR3
191,BOBR4
192,KLBN3
193,ORVR3
194,VULC3
195,PRNR3
196,VLID3
197,HBOR3
198,BMOB3
199,CSED3
200,PORT3
201,AZEV4
202,SOJA3
203,INEP4
204,AGRO3
205,SYNE3
206,CTSA4
207,LOGG3
208,SHOW3
209,TGMA3
210,PDGR3
211,UNIP6
212,IGTI3
213,IGTI3
214,LVTC3
215,MELK3
216,TAEE4
217,MATD3
218,BLAU3
219,FESA4
220,AALR3
221,LEVE3
222,AGXY3
223,BRAP3
224,JSLG3
225,TFCO4
226,LPSB3
227,PFRM3
228,SLED4
229,GOAU3
230,CAMB3
231,POMO3
232,SANB4
233,VVEO3
234,TAEE3
235,HOOT4
236,RNEW3
237,DESK3
238,ITSA3
239,OIBR4
240,BRPR3
241,DOTZ3
242,CTNM4
243,RNEW4
244,ALLD3
245,SANB3
246,LOGN3
247,DEXP3
248,TCSA3
249,GGBR3
250,CEDO4
251,BRKM3
252,CSUD3
253,CTSA3
254,DMVF3
255,ELMD3
256,FHER3
257,CEBR6
258,PDTC3
259,COCE5
260,ALPA3
261,EUCA4
262,PMAM3
263,WEST3
264,LAND3
265,VSTE3
266,UCAS3
267,EALT4
268,TPIS3
269,AZEV3
270,BEES3
271,TASA3
272,ENGI4
273,CEBR3
274,UNIP3
275,HAGA4
276,OSXB3
277,CRPG5
278,APER3
279,MERC4
280,NEXP3
281,ALUP4
282,RSID3
283,BMEB4
284,BPAC5
285,BIOM3
286,BPAC3
287,EUCA3
288,ATOM3
289,BEES4
290,BRIV3
291,DOHL4
292,ALUP3
293,PTNT4
294,CEBR5
295,ENGI3
296,CGRA4
297,AVLL3
298,MWET4
299,MNPR3
300,RPMG3
301,BRSR3
302,WHRL4
303,REDE3
304,BGIP4
305,SLED3
306,ATMP3
307,CLSC4
308,RAPT3
309,EQMA3B
310,SCAR3
311,BMEB3
312,BAHI3
313,MTSA4
314,CGRA3
315,TELB4
316,BSLI4
317,RSUL4
318,HAGA3
319,BAZA3
320,RDNI3
321,OFSA3
322,EQPA3
323,TRPL3
324,AFLT3
325,IGBR3
326,BRIV4
327,RPAD5
328,TELB3
329,MOAR3
330,CGAS5
331,MNDL3
332,JOPA3
333,CRDE3
334,WLMM4
335,BSLI3
336,CTNM3
337,CEDO3
338,FRTA3
339,WHRL3
340,PEAB3
341,BMIN4
342,CTKA4
343,PTNT3
344,SNSY5
345,ENMT4
346,ENMT3
347,EMAE4
348,TKNO4
349,CSAB4
350,EKTR4
351,CRPG6
352,GEPA4
353,MRSA6B
354,MGEL4
355,JFEN3
356,ESTR4
357,CSAB3
358,HBTS5
359,FRIO3
360,CSRN3
361,LUXM4
362,BMIN3
363,HETA4
364,GSHP3
365,BRGE6
366,CLSC3
367,BDLL4
368,BALM4
369,DTCY3
370,SNSY3
371,CEEB3
372,CSRN5
373,IGTI4
374,IGTI4
375,BMKS3
376,SOND5
377,MSPA4
378,GEPA3
379,CBEE3
380,EALT3
381,DEXP4
382,EPAR3
383,BNBR3
384,CRIV3
385,BRGE11
386,TEKA4
387,PLAS3
388,RPAD6
389,BRKM6
390,UNIP5
391,FESA3
392,CRIV4
393,CGAS3
394,LIPR3
395,BRGE7
396,USIM6
397,PEAB4
398,CPLE5
399,BRSR5
400,NORD3
401,AHEB3
402,AHEB5
403,CALI3
404,DOHL3
405,PATI4
406,JOPA4
407,MWET3
408,EKTR3
409,BRGE12
410,COCE3
411,PATI3
412,ODER4
413,ELET5
414,CEEB5
415,BGIP3
416,BALM3
417,BAUH4
418,RPAD3
419,BDLL3
420,EQPA7
421,BRGE3
422,ESTR3
423,AHEB6
424,PARD3
425,CASN3
426,WLMM3
427,CSRN6
428,MAPT4
429,CEED3
430,CEED4
431,GPAR3
432,MTSA3
433,BRGE8
434,MAPT3
435,DMFN3
436,SOND6
437,MRSA5B
438,WIZS3
439,LLIS3
440,MSPA3
441,BRML3
