,ticks
0,a1ap34
1,a1bb34
2,a1bm34
3,a1cr34
4,a1di34
5,a1dm34
6,a1ee34
7,a1eg34
8,a1en34
9,a1ep34
10,a1es34
11,a1fl34
12,a1gi34
13,a1gn34
14,a1iv34
15,a1jg34
16,a1ka34
17,a1lb34
18,a1lg34
19,a1lk34
20,a1ll34
21,a1ln34
22,a1lx34
23,a1mb34
24,a1md34
25,a1me34
26,a1mp34
27,a1mt34
28,a1mx34
29,a1ne34
30,a1ns34
31,a1nt34
32,a1on34
33,a1os34
34,a1pa34
35,a1pd34
36,a1ph34
37,a1re34
38,a1rg34
39,a1sn34
40,a1su34
41,a1th34
42,a1tm34
43,a1tt34
44,a1ua34
45,a1ut34
46,a1vb34
47,a1vy34
48,a1wk34
49,a1yx34
50,a1zn34
51,aall34
52,aapl34
53,abbv34
54,abtt34
55,abud34
56,acnb34
57,adbe34
58,adpr34
59,aigb34
60,amgn34
61,amzo34
62,aptv34
63,armt34
64,arnc34
65,asml34
66,attb34
67,atvi34
68,aura33
69,avgo34
70,awii34
71,axpb34
72,azoi34
73,b1am34
74,b1ax34
75,b1bl34
76,b1bt34
77,b1cs34
78,b1dx34
79,b1fc34
80,b1gn34
81,b1il34
82,b1kr34
83,b1ll34
84,b1mr34
85,b1nt34
86,b1pp34
87,b1rf34
88,b1sa34
89,b1sx34
90,b1ti34
91,b1wa34
92,baba34
93,bbyy34
94,bcsa34
95,berk34
96,bhpg34
97,bidu34
98,biib34
99,bilb34
100,bivb39
101,bkng34
102,blak34
103,bmyb34
104,boac34
105,boei34
106,bony34
107,boxp34
108,c1ab34
109,c1ag34
110,c1ah34
111,c1bl34
112,c1bo34
113,c1br34
114,c1bs34
115,c1ci34
116,c1cl34
117,c1dn34
118,c1dw34
119,c1eo34
120,c1er34
121,c1fg34
122,c1fi34
123,c1gp34
124,c1hi34
125,c1hk34
126,c1hl34
127,c1hr34
128,c1ht34
129,c1ic34
130,c1ma34
131,c1mg34
132,c1mi34
133,c1ms34
134,c1nc34
135,c1np34
136,c1ns34
137,c1og34
138,c1oo34
139,c1ou34
140,c1pb34
141,c1pr34
142,c1rr34
143,c1su34
144,c1ta34
145,c1tv34
146,c1tx34
147,c1xo34
148,caji34
149,caon34
150,caph34
151,catp34
152,chcm34
153,chdc34
154,chme34
155,chvx34
156,cinf34
157,clxc34
158,cmcs34
159,cnic34
160,coca34
161,colg34
162,coph34
163,coty34
164,cowc34
165,cprl34
166,crda34
167,crhp34
168,crin34
169,crip34
170,csco34
171,csxc34
172,ctgp34
173,ctsh34
174,cvsh34
175,d1dg34
176,d1el34
177,d1ex34
178,d1fs34
179,d1hi34
180,d1is34
181,d1lr34
182,d1oc34
183,d1om34
184,d1ov34
185,d1ow34
186,d1re34
187,d1ri34
188,d1te34
189,d1vn34
190,d1xc34
191,dbag34
192,dcvy34
193,dcvy35
194,ddnb34
195,deai34
196,deec34
197,deop34
198,dgco34
199,dher34
200,disb34
201,dltr34
202,dukb34
203,dvai34
204,e1cl34
205,e1co34
206,e1di34
207,e1du34
208,e1fx34
209,e1ix34
210,e1mn34
211,e1mr34
212,e1ni34
213,e1og34
214,e1qn34
215,e1qr34
216,e1ri34
217,e1se34
218,e1ss34
219,e1tn34
220,e1tr34
221,e1ve34
222,e1vr34
223,e1wl34
224,e1xc34monde
225,e1xp34
226,e1xr34
227,eain34
