,ticks
0,aazq11
1,abcp11
2,afhi11
3,agrx11
4,aiec11
5,almi11
6,alzm11
7,alzr11
8,apto11
9,arct11
10,arri11
11,asmt11
12,atsa11
13,aurb11
14,bari11
15,bbfi11b
16,bbfo11
17,bbgo11
18,bbim11
19,bbpo11
20,bbrc11
21,bcff11
22,bcia11
23,bcri11
24,bdif11
25,bice11
26,bicr11
27,bidb11
28,bime11
29,blca11
30,blcp11
31,blmc11
32,blmg11
33,blmo11
34,blmr11
35,blur11
36,bmlc11
37,bnfs11
38,bodb11
39,bpff11
40,bplc11
41,bpml11
42,bprp11
43,brco11
44,brcr11
45,brev11
46,brim11
47,brip11
48,brla11
49,brof11
50,btal11
51,btci11
52,btcr11
53,btlg11
54,btra11
55,btsg11
56,btsi11
57,btwr11
58,bzel11
59,cacr11
60,care11
61,cbop11
62,ccme11
63,ccrf11
64,ceoc11
65,cfhi11
66,cjct11
67,cnes11
68,corm11
69,cpff11
70,cpti11
71,cptr11
72,cpts11
73,crff11
74,ctxt11
75,cvbi11
76,cvpr11
77,cxag11
78,cxce11b
79,cxci11
80,cxco11
81,cxri11
82,cxtl11
83,cycr11
84,damt11b
85,dcra11
86,deva11
87,dlmt11
88,dpro11
89,drit11b
90,dvff11
91,edfo11b
92,edga11
93,egaf11
94,eqia11
95,eqir11
96,ercr11
97,erpa11
98,euro11
99,evbi11
100,exes11
101,faed11
102,famb11b
103,fatn11
104,fcfl11
105,fexc11
106,fgaa11
107,figs11
108,fiib11
109,fiip11b
110,fisc11
111,flcr11
112,flma11
113,flrp11
114,fmof11
115,fpab11
116,frhy11
117,fvpq11
118,fzda11
119,galg11
120,game11
121,gcff11
122,gcra11
123,gcri11
124,gese11b
125,ggrc11
126,gsfi11
127,gtlg11
128,gtwr11
129,haaa11
130,habt11
131,hbcr11
132,hbrh11
133,hchg11
134,hcri11
135,hctr11
136,hdel11
137,hfof11
138,hgag11
139,hgbs11
140,hgcr11
141,hgff11
142,hgic11
143,hglg11
144,hgpo11
145,hgre11
146,hgru11
147,hlog11
148,hofc11
149,hosi11
150,hpdp11
151,hrdf11
152,hrec11
153,hsaf11
154,hslg11
155,hsml11
156,hsre11
157,htmx11
158,hucg11
159,husc11
160,husi11
161,ibcr11
162,ibff11
163,idfi11
164,ifra11
165,irdm11
166,irim11
167,itip11
168,itit11
169,jasc11
170,jbfo11
171,jfll11
172,jgpx11
173,jppa11
174,jrdm11
175,jsaf11
176,jsre11
177,juro11
178,kcre11
179,kdif11
180,keve11
181,kfof11
182,kinp11
183,kisu11
184,kivo11
185,knca11
186,kncr11
187,knhy11
188,knip11
189,knpr11
190,knre11
191,knri11
192,knsc11
193,lasc11
194,lavf11
195,lftt11
196,lgcp11
197,life11
198,llao11
199,loft11b
200,lplp11
201,lsag11
202,lspa11
203,lugg11
204,lvbi11
205,mall11
206,mana11
207,matv11
208,maxr11
209,mbrf11
210,mcci11
211,mchf11
212,mchy11
213,mfai11
214,mfii11
215,mgcr11
216,mgff11
217,mght11
218,mglg11
219,mgri11
220,morc11
221,more11
222,mxrf11
223,navt11
224,nchb11
225,ncra11
226,ncri11
227,newl11
228,newu11
229,nslu11
230,nvho11
231,nvif11b
232,oiag11
233,onef11
234,orpd11
235,ouff11
236,oujp11
237,oulg11
238,oure11
239,paby11
240,patb11
241,patc11
242,patl11
243,pema11
244,plca11
245,plcr11
246,plog11
247,plri11
248,pord11
249,pqag11
250,pqdp11
251,prsv11
252,prts11
253,pvbi11
254,qagr11
255,qami11
256,qiri11
257,rbco11
258,rbds11
259,rbed11
260,rbff11
261,rbgs11
262,rbhg11
263,rbhy11
264,rbif11
265,rbir11
266,rblg11
267,rbop11
268,rbrd11
269,rbrf11
270,rbri11
271,rbrl11
272,rbrm11
273,rbrp11
274,rbrr11
275,rbrs11
276,rbrx11
277,rbry11
278,rbts11
279,rbva11
280,rbvo11
281,rcff11
282,rcrb11
283,rdpd11
284,recr11
285,rect11
286,recx11
287,reit11
288,relg11
289,rfof11
290,rinv11
291,rmai11
292,rndp11
293,rngo11
294,roof11
295,rpri11
296,rrci11
297,rspd11
298,rura11
299,rvbi11
300,rzag11
301,rzak11
302,rzat11
303,rztr11
304,sadi11
305,sare11
306,scpf11
307,sdil11
308,seed11
309,seqr11
310,shop11
311,shph11
312,shso11
313,sigr11
314,snag11
315,snci11
316,snff11
317,snid11
318,snlg11
319,solr11
320,sptw11
321,spvj11
322,spxs11
323,srvd11
324,strx11
325,tcpf11
326,tepp11
327,tgar11
328,tjkb11
329,tord11
330,trnt11
331,trxb11
332,trxf11
333,tser11
334,urpr11
335,vcjr11
336,vcra11
337,vcri11
338,vcrr11
339,vghf11
340,vgia11
341,vgip11
342,vgir11
343,vids11
344,vifi11
345,vilg11
346,vino11
347,visc11
348,viur11
349,vjfd11
350,vliq11
351,vlol11
352,vots11
353,vrta11
354,vsec11
355,vsho11
356,vslh11
357,vtlt11
358,vtpl11
359,vvco11
360,vvpr11
361,vvri11
362,vxxv11
363,wplz11
364,wtsp11b
365,xpca11
366,xpci11
367,xpcm11
368,xpht11
369,xpid11
370,xpin11
371,xplg11
372,xpml11
373,xppr11
374,xpsf11
375,xted11
376,yufi11
377,yufi11b
378,zavi11
379,zifi11
